! #lon(deg), lat(deg), depth(km), dVs(%), dVp(%), drho(%)
111.943 -3.860 5391.000 3.000 0.000 0.000
111.943 -3.860 5401.000 3.000 0.000 0.000
111.943 -3.860 5411.000 3.000 0.000 0.000
111.943 -3.860 5421.000 3.000 0.000 0.000
111.943 -3.860 5431.000 3.000 0.000 0.000
111.943 -3.860 5441.000 3.000 0.000 0.000
111.943 -3.860 5451.000 3.000 0.000 0.000
111.943 -3.860 5461.000 3.000 0.000 0.000
111.943 -3.860 5471.000 3.000 0.000 0.000
112.691 -3.860 5371.000 3.000 0.000 0.000
112.691 -3.860 5381.000 3.000 0.000 0.000
112.691 -3.860 5391.000 3.000 0.000 0.000
112.691 -3.860 5401.000 3.000 0.000 0.000
112.691 -3.860 5411.000 3.000 0.000 0.000
112.691 -3.860 5421.000 3.000 0.000 0.000
112.691 -3.860 5431.000 3.000 0.000 0.000
112.691 -3.860 5441.000 3.000 0.000 0.000
112.691 -3.860 5451.000 3.000 0.000 0.000
112.691 -3.860 5461.000 3.000 0.000 0.000
112.691 -3.860 5471.000 3.000 0.000 0.000
113.439 -3.860 5371.000 3.000 0.000 0.000
113.439 -3.860 5381.000 3.000 0.000 0.000
113.439 -3.860 5391.000 3.000 0.000 0.000
113.439 -3.860 5401.000 3.000 0.000 0.000
113.439 -3.860 5411.000 3.000 0.000 0.000
113.439 -3.860 5421.000 3.000 0.000 0.000
113.439 -3.860 5431.000 3.000 0.000 0.000
113.439 -3.860 5441.000 3.000 0.000 0.000
113.439 -3.860 5451.000 3.000 0.000 0.000
113.439 -3.860 5461.000 3.000 0.000 0.000
113.439 -3.860 5471.000 3.000 0.000 0.000
114.188 -3.860 5371.000 3.000 0.000 0.000
114.188 -3.860 5381.000 3.000 0.000 0.000
114.188 -3.860 5391.000 3.000 0.000 0.000
114.188 -3.860 5401.000 3.000 0.000 0.000
114.188 -3.860 5411.000 3.000 0.000 0.000
114.188 -3.860 5421.000 3.000 0.000 0.000
114.188 -3.860 5431.000 3.000 0.000 0.000
114.188 -3.860 5441.000 3.000 0.000 0.000
114.188 -3.860 5451.000 3.000 0.000 0.000
114.188 -3.860 5461.000 3.000 0.000 0.000
114.188 -3.860 5471.000 3.000 0.000 0.000
114.936 -3.860 5371.000 3.000 0.000 0.000
114.936 -3.860 5381.000 3.000 0.000 0.000
114.936 -3.860 5391.000 3.000 0.000 0.000
114.936 -3.860 5401.000 3.000 0.000 0.000
114.936 -3.860 5411.000 3.000 0.000 0.000
114.936 -3.860 5421.000 3.000 0.000 0.000
114.936 -3.860 5431.000 3.000 0.000 0.000
114.936 -3.860 5441.000 3.000 0.000 0.000
114.936 -3.860 5451.000 3.000 0.000 0.000
114.936 -3.860 5461.000 3.000 0.000 0.000
114.936 -3.860 5471.000 3.000 0.000 0.000
115.684 -3.860 5371.000 3.000 0.000 0.000
115.684 -3.860 5381.000 3.000 0.000 0.000
115.684 -3.860 5391.000 3.000 0.000 0.000
115.684 -3.860 5401.000 3.000 0.000 0.000
115.684 -3.860 5411.000 3.000 0.000 0.000
115.684 -3.860 5421.000 3.000 0.000 0.000
115.684 -3.860 5431.000 3.000 0.000 0.000
115.684 -3.860 5441.000 3.000 0.000 0.000
115.684 -3.860 5451.000 3.000 0.000 0.000
115.684 -3.860 5461.000 3.000 0.000 0.000
115.684 -3.860 5471.000 3.000 0.000 0.000
116.432 -3.860 5371.000 3.000 0.000 0.000
116.432 -3.860 5381.000 3.000 0.000 0.000
116.432 -3.860 5391.000 3.000 0.000 0.000
116.432 -3.860 5401.000 3.000 0.000 0.000
116.432 -3.860 5411.000 3.000 0.000 0.000
116.432 -3.860 5421.000 3.000 0.000 0.000
116.432 -3.860 5431.000 3.000 0.000 0.000
116.432 -3.860 5441.000 3.000 0.000 0.000
116.432 -3.860 5451.000 3.000 0.000 0.000
116.432 -3.860 5461.000 3.000 0.000 0.000
116.432 -3.860 5471.000 3.000 0.000 0.000
117.180 -3.860 5371.000 3.000 0.000 0.000
117.180 -3.860 5381.000 3.000 0.000 0.000
117.180 -3.860 5391.000 3.000 0.000 0.000
117.180 -3.860 5401.000 3.000 0.000 0.000
117.180 -3.860 5411.000 3.000 0.000 0.000
117.180 -3.860 5421.000 3.000 0.000 0.000
117.180 -3.860 5431.000 3.000 0.000 0.000
117.180 -3.860 5441.000 3.000 0.000 0.000
117.180 -3.860 5451.000 3.000 0.000 0.000
117.180 -3.860 5461.000 3.000 0.000 0.000
117.180 -3.860 5471.000 3.000 0.000 0.000
106.706 -3.302 5371.000 3.000 0.000 0.000
106.706 -3.302 5381.000 3.000 0.000 0.000
106.706 -3.302 5391.000 3.000 0.000 0.000
106.706 -3.302 5401.000 3.000 0.000 0.000
106.706 -3.302 5411.000 3.000 0.000 0.000
106.706 -3.302 5421.000 3.000 0.000 0.000
106.706 -3.302 5431.000 3.000 0.000 0.000
